"material","LCstage","disposition","corporateSource","impactCategory","impactUnits","impliedMiles","impactFactor","gabiExportDate","wicImportDate"
"AcceptedOtherSteel","endOfLife","combustionNoER","IPCC AR5","GWP 100","kg CO2 eq.",180,85.1456784448221,2020-11-06,2020-11-27
"AcceptedOtherSteel","endOfLife","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,39.3674158789343,2020-11-06,2020-11-27
"AcceptedOtherSteel","endOfLife","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,-1455.27758765974,2020-11-06,2020-11-27
"AcceptedOtherSteel","endOfLifeTransport","combustionNoER","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"AcceptedOtherSteel","endOfLifeTransport","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"AcceptedOtherSteel","endOfLifeTransport","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"AcceptedOtherSteel","production","production","IPCC AR5","GWP 100","kg CO2 eq.",180,2213.56285626739,2020-11-06,2020-11-27
"Aluminum","endOfLife","combustionNoER","IPCC AR5","GWP 100","kg CO2 eq.",180,142.37132954045,2020-11-06,2020-11-27
"Aluminum","endOfLife","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,39.3674158789343,2020-11-06,2020-11-27
"Aluminum","endOfLife","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,-2267.13375595861,2020-11-06,2020-11-27
"Aluminum","endOfLifeTransport","combustionNoER","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"Aluminum","endOfLifeTransport","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"Aluminum","endOfLifeTransport","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0188343895365,2020-11-06,2020-11-27
"Aluminum","production","production","IPCC AR5","GWP 100","kg CO2 eq.",180,4724.99868539807,2020-11-06,2020-11-27
"AsepticContainers","endOfLife","combustion","IPCC AR5","GWP 100","kg CO2 eq.",180,210.115336473935,2020-11-06,2020-11-27
"AsepticContainers","endOfLife","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,388.830162413435,2020-11-06,2020-11-27
"AsepticContainers","endOfLife","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,-578.46351251109,2020-11-06,2020-11-27
"AsepticContainers","endOfLifeTransport","combustion","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0100604608606,2020-11-06,2020-11-27
"AsepticContainers","endOfLifeTransport","landfilling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0100604608606,2020-11-06,2020-11-27
"AsepticContainers","endOfLifeTransport","recycling","IPCC AR5","GWP 100","kg CO2 eq.",180,41.0100604608606,2020-11-06,2020-11-27
